title,company,location,sector,description,contract_type,salary,posted_date,job_url,source_website
COMMERCIAUX MARQUES MEDIAS - APPELS SORTANTS,ETAI TUNISIE/INFOPRO DIGITAL,Tunis,communication / publicité / média,communication / publicité / média CDI SIVP 1000 - 3000 TND,CDI,1000-3000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/1228/infopro/,keejob.com
Ingénieur HSE Fejja,SOTUCHOC,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/11711/sotuchoc/,keejob.com
Responsable Ressources Humaines,CRIT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/159/crit/,keejob.com
Agents Support Technique HP,COMETE TN.AI,Tunis,call center / télévente,call center / télévente CDI 1200 - 1500 TND,CDI,1200-1500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33342/comete-tnai/,keejob.com
RESPONSABLE MÉCANIQUE,Entreprise Anonyme,Tunis,CDI,CDI CDD,CDD,,02/12/2025,https://www.keejob.com/offres-emploi/232776/responsable-m%C3%A9canique/,keejob.com
Electricien,Entreprise Anonyme,Tunis,CDI,CDI SIVP,SIVP,,02/12/2025,https://www.keejob.com/offres-emploi/232777/electricien/,keejob.com
Responsable administrativeLicence - Anglais,ÉTUDIER PLUS À LÉTRANGER,Tunis,consulting / étude / stratégie,consulting / étude / stratégie CDI SIVP 500 - 1000 TND,CDI,500-1000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/24025/connect-plus-sousse/,keejob.com
Ingénieur Électrique Maintenance B,Entreprise Anonyme,Tunis,CDI,CDI,,,02/12/2025,https://www.keejob.com/offres-emploi/232775/ing%C3%A9nieur-%C3%A9lectrique-maintenance-b/,keejob.com
Animatrice Jardin denfants,JARDIN DENFANT LES ANGES,Tunis,enseignement / formation / puériculture,enseignement / formation / puériculture CDI CDD SIVP 650 - 750 TND,CDI,650-750 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33859/jardin-denfant-les-anges/,keejob.com
Délégué médical Tunis,SMR PHARMA,Tunis,santé / paramédical / optique,santé / paramédical / optique CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/689/smr-pharma/,keejob.com
Directeur de Production Jbel ELOuest,PARTNER RECRUITMENT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines 3500 - 4000 TND,3500 - 4000 TND,3500-4000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/,keejob.com
Responsable Ressources Humaines,PARTNER RECRUITMENT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines 1800 - 2300 TND,1800 - 2300 TND,1800-2300 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/,keejob.com
Chef des Ventes  Secteur Pharmacie / PARA,PARTNER RECRUITMENT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines CDI 2500 - 3000 TND,CDI,2500-3000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/,keejob.com
Technicien Junior en Installation Maintenance,TARPOFLEX,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI 1100 - 1300 TND,CDI,1100-1300 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/7436/ste-tarpoflex/,keejob.com
Responsable Méthodes UAP,ONETECH,Tunis,informatique / télécoms,informatique / télécoms CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/4966/onetech-holding/,keejob.com
"Conseiller client appels, chat  email",TP,Tunis,informatique / télécoms,informatique / télécoms,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/2291/teleperformance/,keejob.com
Team Leader- Italophone/ Anglophone,INTELCIA,Tunis,call center / télévente,call center / télévente CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/1740/t3c/,keejob.com
Conseillers Commerciaux en Réception dappel,OUTSOURCIA,Tunis,call center / télévente,call center / télévente CDI SIVP 1200 - 2000 TND,CDI,1200-2000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/225/phoneact/,keejob.com
Assistant de gestion,EVERIENCE,Tunis,informatique / télécoms,informatique / télécoms CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/2046/helpline/,keejob.com
Assistant Financier,GROUPE MABROUKA,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/22004/groupe/,keejob.com
Conducteur-Chario-Elevateur,Entreprise Anonyme,Tunis,CDI,CDI 700 - 900 TND,700 - 900 TND,700-900 TND,02/12/2025,https://www.keejob.com/offres-emploi/232250/conducteur-chario-elevateur/,keejob.com
Vendeur / Préparateur de Jus - MALL OF SOUSSE,BARIOLO,Tunis,tourisme / hôtellerie / restauration / loisirs,tourisme / hôtellerie / restauration / loisirs CDD SIVP,CDD,,02/12/2025,https://www.keejob.com/offres-emploi/companies/19405/bariolo/,keejob.com
Chef Département Comptable,SOTUBI,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement CDD,CDD,,02/12/2025,https://www.keejob.com/offres-emploi/companies/2820/sotubi/,keejob.com
